modes,cutoff,shots_per_sample,max_squeezing,max_train_samples,max_test_samples,perceptron_max_iter,gelm_hidden_units,gelm_reg,grvfl_hidden_units,grvfl_reg,perceptron_acc,gelm_acc,grvfl_acc,status,message
2,2,5,0.2,240,120,1500,48,0.001,32,0.001,0.19166666666666668,0.4666666666666667,0.44166666666666665,ok,
2,2,5,0.2,240,120,1500,48,0.001,40,0.001,0.19166666666666668,0.4666666666666667,0.43333333333333335,ok,
2,2,5,0.2,240,120,1500,64,0.001,32,0.001,0.19166666666666668,0.4583333333333333,0.44166666666666665,ok,
2,2,5,0.2,240,120,1500,64,0.001,40,0.001,0.19166666666666668,0.4583333333333333,0.43333333333333335,ok,
2,2,5,0.2,240,120,2000,48,0.001,32,0.001,0.19166666666666668,0.4666666666666667,0.44166666666666665,ok,
2,2,5,0.2,240,120,2000,48,0.001,40,0.001,0.19166666666666668,0.4666666666666667,0.43333333333333335,ok,
2,2,5,0.2,240,120,2000,64,0.001,32,0.001,0.19166666666666668,0.4583333333333333,0.44166666666666665,ok,
2,2,5,0.2,240,120,2000,64,0.001,40,0.001,0.19166666666666668,0.4583333333333333,0.43333333333333335,ok,
2,2,5,0.25,240,120,1500,48,0.001,32,0.001,0.19166666666666668,0.4666666666666667,0.44166666666666665,ok,
2,2,5,0.25,240,120,1500,48,0.001,40,0.001,0.19166666666666668,0.4666666666666667,0.43333333333333335,ok,
2,2,5,0.25,240,120,1500,64,0.001,32,0.001,0.19166666666666668,0.4583333333333333,0.44166666666666665,ok,
2,2,5,0.25,240,120,1500,64,0.001,40,0.001,0.19166666666666668,0.4583333333333333,0.43333333333333335,ok,
2,2,5,0.25,240,120,2000,48,0.001,32,0.001,0.19166666666666668,0.4666666666666667,0.44166666666666665,ok,
2,2,5,0.25,240,120,2000,48,0.001,40,0.001,0.19166666666666668,0.4666666666666667,0.43333333333333335,ok,
2,2,5,0.25,240,120,2000,64,0.001,32,0.001,0.19166666666666668,0.4583333333333333,0.44166666666666665,ok,
2,2,5,0.25,240,120,2000,64,0.001,40,0.001,0.19166666666666668,0.4583333333333333,0.43333333333333335,ok,
2,2,5,0.3,240,120,1500,48,0.001,32,0.001,0.19166666666666668,0.4666666666666667,0.44166666666666665,ok,
2,2,5,0.3,240,120,1500,48,0.001,40,0.001,0.19166666666666668,0.4666666666666667,0.43333333333333335,ok,
2,2,5,0.3,240,120,1500,64,0.001,32,0.001,0.19166666666666668,0.4583333333333333,0.44166666666666665,ok,
2,2,5,0.3,240,120,1500,64,0.001,40,0.001,0.19166666666666668,0.4583333333333333,0.43333333333333335,ok,
2,2,5,0.3,240,120,2000,48,0.001,32,0.001,0.19166666666666668,0.4666666666666667,0.44166666666666665,ok,
2,2,5,0.3,240,120,2000,48,0.001,40,0.001,0.19166666666666668,0.4666666666666667,0.43333333333333335,ok,
